fpas_code,fpas_description,regime,calculation_base,third_party_name,third_party_code,third_party_rate,convention_situation
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",COOPERATIVAS,Remuneração dos Segurados,SALÁRIO EDUCAÇÃO,0001,"2,5%",
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",COOPERATIVAS,Remuneração dos Segurados,INCRA,0002,"0,2%",
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",COOPERATIVAS,Remuneração dos Segurados,SEBRAE,0064,"0,6%",
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",COOPERATIVAS,Remuneração dos Segurados,SESCOOP,4096,"2,5%",
507,"INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive Cabos Aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas Mecânicas de Manutenção e Reparação de Veículos e Máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria. INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531) SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22 A da Lei 8.212/91 ESTALEIRO - setor de fabricação e desmontagem de embarcações navais",COOPERATIVAS,Remuneração dos Segurados,TOTAL,4163,"5,8%",
515,"COMÉRCIO ATACADISTA - COMÉRCIO VAREJISTA - AGENTE AUTÔNOMO DO COMÉRCIO - COMÉRCIO ARMAZENADOR - TURISMO E HOSPITALIDADE (inclusive salão de barbeiro, instituto de beleza, empresa de compra, venda, locação e administração de imóvel, engraxate, empresa de asseio e conservação, sociedade beneficente e religiosa etc.) - ESTABELECIMENTO DE SERVIÇO DE SAÚDE (hospital, clínica, casa de saúde, laboratório de pesquisas e análises clínicas, cooperativa de serviço médico, banco de sangue, estabelecimento de ducha, massagem e fisioterapia e empresa de prótese) - COMÉRCIO TRANSPORTADOR, REVENDEDOR, RETALHISTA DE ÓLEO DIESEL, ÓLEO COMBUSTÍVEL E QUEROSENE (exceto quanto aos empregados envolvidos diretamente na atividade de transporte - Dec. 1.092/94 - FPAS 612) - EMPRESA E SERVIÇOS DE PROCESSAMENTO DE DADOS - ESCRITÓRIO, CONSULTÓRIO OU LABORATÓRIO DE PROFISSIONAIS LIBERAIS (pessoa jurídica) - CONSÓRCIO - AUTO-ESCOLA - CURSO LIVRE - LOCAÇÕES DIVERSAS - PARTIDO POLÍTICO - EMPRESA DE TRABALHO TEMPORÁRIO (contribuição sobre a folha de salário de seus empregados) - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado ao comércio - EMPRESAS DE FACTORING",EMPRESAS,Remuneração dos Segurados,SALÁRIO EDUCAÇÃO,0001,"2,5%",
515,"COMÉRCIO ATACADISTA - COMÉRCIO VAREJISTA - AGENTE AUTÔNOMO DO COMÉRCIO - COMÉRCIO ARMAZENADOR - TURISMO E HOSPITALIDADE (inclusive salão de barbeiro, instituto de beleza, empresa de compra, venda, locação e administração de imóvel, engraxate, empresa de asseio e conservação, sociedade beneficente e religiosa etc.) - ESTABELECIMENTO DE SERVIÇO DE SAÚDE (hospital, clínica, casa de saúde, laboratório de pesquisas e análises clínicas, cooperativa de serviço médico, banco de sangue, estabelecimento de ducha, massagem e fisioterapia e empresa de prótese) - COMÉRCIO TRANSPORTADOR, REVENDEDOR, RETALHISTA DE ÓLEO DIESEL, ÓLEO COMBUSTÍVEL E QUEROSENE (exceto quanto aos empregados envolvidos diretamente na atividade de transporte - Dec. 1.092/94 - FPAS 612) - EMPRESA E SERVIÇOS DE PROCESSAMENTO DE DADOS - ESCRITÓRIO, CONSULTÓRIO OU LABORATÓRIO DE PROFISSIONAIS LIBERAIS (pessoa jurídica) - CONSÓRCIO - AUTO-ESCOLA - CURSO LIVRE - LOCAÇÕES DIVERSAS - PARTIDO POLÍTICO - EMPRESA DE TRABALHO TEMPORÁRIO (contribuição sobre a folha de salário de seus empregados) - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado ao comércio - EMPRESAS DE FACTORING",EMPRESAS,Remuneração dos Segurados,INCRA,0002,"0,2%",
515,"COMÉRCIO ATACADISTA - COMÉRCIO VAREJISTA - AGENTE AUTÔNOMO DO COMÉRCIO - COMÉRCIO ARMAZENADOR - TURISMO E HOSPITALIDADE (inclusive salão de barbeiro, instituto de beleza, empresa de compra, venda, locação e administração de imóvel, engraxate, empresa de asseio e conservação, sociedade beneficente e religiosa etc.) - ESTABELECIMENTO DE SERVIÇO DE SAÚDE (hospital, clínica, casa de saúde, laboratório de pesquisas e análises clínicas, cooperativa de serviço médico, banco de sangue, estabelecimento de ducha, massagem e fisioterapia e empresa de prótese) - COMÉRCIO TRANSPORTADOR, REVENDEDOR, RETALHISTA DE ÓLEO DIESEL, ÓLEO COMBUSTÍVEL E QUEROSENE (exceto quanto aos empregados envolvidos diretamente na atividade de transporte - Dec. 1.092/94 - FPAS 612) - EMPRESA E SERVIÇOS DE PROCESSAMENTO DE DADOS - ESCRITÓRIO, CONSULTÓRIO OU LABORATÓRIO DE PROFISSIONAIS LIBERAIS (pessoa jurídica) - CONSÓRCIO - AUTO-ESCOLA - CURSO LIVRE - LOCAÇÕES DIVERSAS - PARTIDO POLÍTICO - EMPRESA DE TRABALHO TEMPORÁRIO (contribuição sobre a folha de salário de seus empregados) - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado ao comércio - EMPRESAS DE FACTORING",EMPRESAS,Remuneração dos Segurados,SENAC,0016,"1,0%",
515,"COMÉRCIO ATACADISTA - COMÉRCIO VAREJISTA - AGENTE AUTÔNOMO DO COMÉRCIO - COMÉRCIO ARMAZENADOR - TURISMO E HOSPITALIDADE (inclusive salão de barbeiro, instituto de beleza, empresa de compra, venda, locação e administração de imóvel, engraxate, empresa de asseio e conservação, sociedade beneficente e religiosa etc.) - ESTABELECIMENTO DE SERVIÇO DE SAÚDE (hospital, clínica, casa de saúde, laboratório de pesquisas e análises clínicas, cooperativa de serviço médico, banco de sangue, estabelecimento de ducha, massagem e fisioterapia e empresa de prótese) - COMÉRCIO TRANSPORTADOR, REVENDEDOR, RETALHISTA DE ÓLEO DIESEL, ÓLEO COMBUSTÍVEL E QUEROSENE (exceto quanto aos empregados envolvidos diretamente na atividade de transporte - Dec. 1.092/94 - FPAS 612) - EMPRESA E SERVIÇOS DE PROCESSAMENTO DE DADOS - ESCRITÓRIO, CONSULTÓRIO OU LABORATÓRIO DE PROFISSIONAIS LIBERAIS (pessoa jurídica) - CONSÓRCIO - AUTO-ESCOLA - CURSO LIVRE - LOCAÇÕES DIVERSAS - PARTIDO POLÍTICO - EMPRESA DE TRABALHO TEMPORÁRIO (contribuição sobre a folha de salário de seus empregados) - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado ao comércio - EMPRESAS DE FACTORING",EMPRESAS,Remuneração dos Segurados,SESC,0032,"1,5%",
515,"COMÉRCIO ATACADISTA - COMÉRCIO VAREJISTA - AGENTE AUTÔNOMO DO COMÉRCIO - COMÉRCIO ARMAZENADOR - TURISMO E HOSPITALIDADE (inclusive salão de barbeiro, instituto de beleza, empresa de compra, venda, locação e administração de imóvel, engraxate, empresa de asseio e conservação, sociedade beneficente e religiosa etc.) - ESTABELECIMENTO DE SERVIÇO DE SAÚDE (hospital, clínica, casa de saúde, laboratório de pesquisas e análises clínicas, cooperativa de serviço médico, banco de sangue, estabelecimento de ducha, massagem e fisioterapia e empresa de prótese) - COMÉRCIO TRANSPORTADOR, REVENDEDOR, RETALHISTA DE ÓLEO DIESEL, ÓLEO COMBUSTÍVEL E QUEROSENE (exceto quanto aos empregados envolvidos diretamente na atividade de transporte - Dec. 1.092/94 - FPAS 612) - EMPRESA E SERVIÇOS DE PROCESSAMENTO DE DADOS - ESCRITÓRIO, CONSULTÓRIO OU LABORATÓRIO DE PROFISSIONAIS LIBERAIS (pessoa jurídica) - CONSÓRCIO - AUTO-ESCOLA - CURSO LIVRE - LOCAÇÕES DIVERSAS - PARTIDO POLÍTICO - EMPRESA DE TRABALHO TEMPORÁRIO (contribuição sobre a folha de salário de seus empregados) - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado ao comércio - EMPRESAS DE FACTORING",EMPRESAS,Remuneração dos Segurados,SEBRAE,0064,"0,6%",
515,"COMÉRCIO ATACADISTA - COMÉRCIO VAREJISTA - AGENTE AUTÔNOMO DO COMÉRCIO - COMÉRCIO ARMAZENADOR - TURISMO E HOSPITALIDADE (inclusive salão de barbeiro, instituto de beleza, empresa de compra, venda, locação e administração de imóvel, engraxate, empresa de asseio e conservação, sociedade beneficente e religiosa etc.) - ESTABELECIMENTO DE SERVIÇO DE SAÚDE (hospital, clínica, casa de saúde, laboratório de pesquisas e análises clínicas, cooperativa de serviço médico, banco de sangue, estabelecimento de ducha, massagem e fisioterapia e empresa de prótese) - COMÉRCIO TRANSPORTADOR, REVENDEDOR, RETALHISTA DE ÓLEO DIESEL, ÓLEO COMBUSTÍVEL E QUEROSENE (exceto quanto aos empregados envolvidos diretamente na atividade de transporte - Dec. 1.092/94 - FPAS 612) - EMPRESA E SERVIÇOS DE PROCESSAMENTO DE DADOS - ESCRITÓRIO, CONSULTÓRIO OU LABORATÓRIO DE PROFISSIONAIS LIBERAIS (pessoa jurídica) - CONSÓRCIO - AUTO-ESCOLA - CURSO LIVRE - LOCAÇÕES DIVERSAS - PARTIDO POLÍTICO - EMPRESA DE TRABALHO TEMPORÁRIO (contribuição sobre a folha de salário de seus empregados) - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado ao comércio - EMPRESAS DE FACTORING",EMPRESAS,Remuneração dos Segurados,TOTAL,0115,"5,8%",
